epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7888,0.78032,1.12554,1.18027,0.70745,0.63288,0.65555,0.54105,0.73816,0.84252,1.10715,0.00333093,0.00333093,0.00333093
2,151.137,0.66581,0.85527,1.09127,0.748,0.68696,0.68466,0.56735,0.69166,0.73095,1.06913,0.00659829,0.00659829,0.00659829
3,221.38,0.67822,0.8656,1.09367,0.7494,0.65406,0.67631,0.56049,0.70349,0.74925,1.09182,0.00979964,0.00979964,0.00979964
4,291.302,0.67288,0.85557,1.09216,0.76728,0.70584,0.71621,0.58967,0.66369,0.66866,1.04847,0.009703,0.009703,0.009703
5,361.643,0.64115,0.81653,1.07654,0.76651,0.70651,0.71571,0.59429,0.6523,0.68034,1.05787,0.009604,0.009604,0.009604
6,432.102,0.61224,0.77653,1.06216,0.78261,0.70203,0.73671,0.60903,0.62796,0.62557,1.04394,0.009505,0.009505,0.009505
7,502.299,0.59645,0.75522,1.05575,0.78886,0.69485,0.72073,0.6029,0.62973,0.64716,1.03576,0.009406,0.009406,0.009406
8,572.802,0.58529,0.7358,1.05207,0.79956,0.7031,0.73796,0.61206,0.61588,0.6307,1.02869,0.009307,0.009307,0.009307
9,643.261,0.57326,0.71797,1.0457,0.78606,0.72572,0.74286,0.61758,0.58041,0.59478,1.00303,0.009208,0.009208,0.009208
10,713.832,0.56327,0.69909,1.04161,0.78529,0.70392,0.73071,0.61616,0.57714,0.61364,1.01371,0.009109,0.009109,0.009109
11,784.516,0.55711,0.68746,1.03657,0.78931,0.72254,0.74489,0.62029,0.57315,0.58462,0.99895,0.00901,0.00901,0.00901
12,854.834,0.54498,0.67404,1.03037,0.79573,0.76176,0.77685,0.63433,0.56776,0.55847,0.99754,0.008911,0.008911,0.008911
13,925.452,0.53855,0.66751,1.02756,0.81083,0.73682,0.75659,0.63123,0.57471,0.54916,0.99459,0.008812,0.008812,0.008812
14,995.827,0.54195,0.66232,1.02926,0.80086,0.73057,0.75892,0.63102,0.565,0.54103,0.98909,0.008713,0.008713,0.008713
15,1066.07,0.53598,0.6573,1.02646,0.81088,0.73877,0.76281,0.63258,0.56756,0.54883,0.99677,0.008614,0.008614,0.008614
16,1136.49,0.5289,0.64381,1.02365,0.80636,0.73869,0.76447,0.6364,0.56487,0.54224,0.99692,0.008515,0.008515,0.008515
17,1207.14,0.52492,0.63952,1.02134,0.81897,0.74548,0.77313,0.63784,0.55583,0.51989,0.98568,0.008416,0.008416,0.008416
18,1277.66,0.52101,0.63463,1.01829,0.82131,0.76578,0.78202,0.64236,0.55012,0.51038,0.98288,0.008317,0.008317,0.008317
19,1348.27,0.51792,0.62505,1.01774,0.83129,0.75706,0.7858,0.65051,0.5477,0.50762,0.98623,0.008218,0.008218,0.008218
20,1418.9,0.51442,0.62369,1.0148,0.8201,0.76077,0.78393,0.64733,0.55366,0.51165,0.98776,0.008119,0.008119,0.008119
